EVENT,BOUT,ROUND,FIGHTER,SIG.STR. LANDED,SIG.STR. ATTEMPTED,SIG.STR. %,TOTAL STR. LANDED,TOTAL STR. ATTEMPTED,TD LANDED,TD ATTEMPTED,TD %
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 1,Max Holloway,8,13,61.0,11,16,0,0,
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 2,Max Holloway,5,7,71.0,16,18,0,0,
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 3,Max Holloway,2,5,40.0,10,13,0,0,
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 4,Max Holloway,6,11,54.0,8,13,0,0,
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 5,Max Holloway,5,9,55.0,28,32,0,0,
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 1,Charles Oliveira,10,14,71.0,19,25,1,1,100.0
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 2,Charles Oliveira,13,15,86.0,24,26,1,2,50.0
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 3,Charles Oliveira,9,14,64.0,18,23,1,4,25.0
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 4,Charles Oliveira,9,11,81.0,25,36,1,3,33.0
UFC 326: Holloway vs. Oliveira 2,Max Holloway vs. Charles Oliveira,Round 5,Charles Oliveira,9,12,75.0,24,27,1,3,33.0
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 1,Caio Borralho,24,42,57.0,24,42,0,0,
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 2,Caio Borralho,14,25,56.0,22,33,0,0,
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 3,Caio Borralho,19,31,61.0,25,37,1,1,100.0
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 1,Reinier de Ridder,19,51,37.0,30,62,2,5,40.0
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 2,Reinier de Ridder,17,43,39.0,23,50,0,3,0.0
UFC 326: Holloway vs. Oliveira 2,Caio Borralho vs. Reinier de Ridder,Round 3,Reinier de Ridder,19,47,40.0,58,87,0,0,
UFC 326: Holloway vs. Oliveira 2,Rob Font vs. Raul Rosas Jr.,Round 1,Rob Font,7,20,35.0,8,21,0,1,0.0
UFC 326: Holloway vs. Oliveira 2,Rob Font vs. Raul Rosas Jr.,Round 2,Rob Font,0,2,0.0,8,10,0,0,
