FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Nariman Abbasov,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",http://ufcstats.com/fighter-details/59a9d6dac61c2540
Darion Abbey,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993",http://ufcstats.com/fighter-details/4961467134abd8be
Hamdy Abdelwahab,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993",http://ufcstats.com/fighter-details/3329d692aea4dc28
Mansur Abdul-Malik,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",http://ufcstats.com/fighter-details/841695e02c99a521
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",http://ufcstats.com/fighter-details/5140122c3eecd307
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",http://ufcstats.com/fighter-details/7279654c7674cd24
John Adajar,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991",http://ufcstats.com/fighter-details/989b85f6540c86b1
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",http://ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",http://ufcstats.com/fighter-details/a77633a989013265
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Mohamed Ado,"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000",http://ufcstats.com/fighter-details/7a846fcbf182a7c8
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",http://ufcstats.com/fighter-details/a08ddd04eaffd81d
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",http://ufcstats.com/fighter-details/8f382b3baa954d2a
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",http://ufcstats.com/fighter-details/cf946e03ba2e7666
Jesus Aguilar,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996",http://ufcstats.com/fighter-details/c051c2e12d692b8a
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Nick Aguirre,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996",http://ufcstats.com/fighter-details/0978385b2bd9ef9b
Agulali,"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005",http://ufcstats.com/fighter-details/b2efa582adf73604
Ashiek Ajim,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994",http://ufcstats.com/fighter-details/49dea784f6cfed71
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",http://ufcstats.com/fighter-details/16690d100f995f8f
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",http://ufcstats.com/fighter-details/b0550072e5f0afa7
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Abdul-Kareem Al-Selwady,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995",http://ufcstats.com/fighter-details/597499ac7a5aac62
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",http://ufcstats.com/fighter-details/7578cc6bd750206b
